物件名,路線名,駅名,駅までの距離（徒歩/分）,間取り,階,家賃,住所
7階建 築43年,ＪＲ山手線,御徒町駅,5,2LDK,2,17.5,千代田区外神田６
11階建 築50年,丸ノ内線,新大塚駅,1,2DK,6,13,文京区大塚４
アヴァンティーク銀座2丁目参番館,日比谷線,東銀座駅,3,2DK,9,20,中央区銀座２
8階建 築20年,ＪＲ山手線,秋葉原駅,5,2DK,6,14,千代田区神田須田町１
4階建 築59年,丸ノ内線,中野新橋駅,3,2K,1,6.8,中野区弥生町２
レジディア秋葉原,ＪＲ山手線,秋葉原駅,8,2K,11,13.3,台東区上野５
トーシンフェニックス日本橋兜町弐番館,都営浅草線,日本橋駅,3,2DK,3,17,中央区日本橋兜町
松本ビル,日比谷線,三ノ輪駅,5,2DK,4,8.7,荒川区南千住２
向原パークハイツ,副都心線,小竹向原駅,4,2DK,3,11.5,板橋区向原１
アヴァンティーク東銀座,日比谷線,東銀座駅,3,2SK,4,15.1,中央区築地４
4階建 築53年,有楽町線,月島駅,2,2LDK,2,18.7,中央区月島１
レジディア神田岩本町2,都営新宿線,岩本町駅,3,2K,11,15.5,千代田区岩本町２
ＬＯＡＳＩ,ＪＲ山手線,日暮里駅,5,2DK,1,11.1,荒川区西日暮里３
鶯谷タウンプラザ,ＪＲ山手線,鶯谷駅,3,2DK,11,12.5,台東区根岸１
湯島ハイタウン,千代田線,湯島駅,1,2LDK,14,16,文京区湯島４
ニュー松が谷マンション,銀座線,田原町駅,5,2K,8,7.9,台東区松が谷１
明石町ツインクロス,有楽町線,新富町駅,1,2K,5,12.5,中央区明石町
RBM東八重洲レジデンス,都営浅草線,宝町駅,4,2DK,12,17,中央区八丁堀２
アヴァンティーク銀座一丁目,銀座線,銀座駅,8,2K,4,15.6,中央区銀座１
11階建 築41年,ＪＲ山手線,上野駅,8,2LDK,9,20,台東区東上野５
杉林ビル,銀座線,末広町駅,5,2DK,2,10,文京区湯島１
パートナーシップアパートメント,日比谷線,八丁堀駅,4,2LDK,3,17.9,中央区新川２
フレンシア御徒町,日比谷線,仲御徒町駅,3,2LDK,2,18.3,台東区東上野１
ケンハイム,ＪＲ山手線,日暮里駅,4,2K,5,7,荒川区西日暮里２
SKレジデンス,ＪＲ山手線,大塚駅,4,2DK,4,14.4,豊島区南大塚３
5階建 築46年,丸ノ内線,本郷三丁目駅,5,2DK,3,14.5,文京区本郷３
7階建 築54年,ＪＲ山手線,新宿駅,5,2DK,4,10.5,渋谷区代々木２
MYE新宿御苑,丸ノ内線,新宿御苑前駅,1,2DK,6,11.9,新宿区新宿１
4階建 築51年,丸ノ内線,中野富士見町駅,5,2DK,3,10,中野区弥生町２
梅里住宅,丸ノ内線,新高円寺駅,5,2DK,1,8.3,杉並区梅里１
5階建 築34年,丸ノ内線,新高円寺駅,5,2LDK,1,16.9,杉並区梅里１
張替ビル,銀座線,田原町駅,4,3LDK,3,19.5,台東区寿４
ライオンズマンション入船,有楽町線,新富町駅,3,2DK,4,13,中央区入船２
サンライズ神楽坂,都営大江戸線,牛込神楽坂駅,4,2DK,1,11.2,新宿区神楽坂３
サンパークマンション千代田,ＪＲ総武線,飯田橋駅,2,2DK,10,16,千代田区飯田橋２
秋場ビル,丸ノ内線,新宿御苑前駅,3,2DK,5,16.5,新宿区新宿２
地下1地上9階建 新築,千代田線,湯島駅,5,2LDK,1,18,文京区湯島３
バークレーコート御徒町,日比谷線,仲御徒町駅,3,2DK,1,13.8,台東区台東３
グランドメゾン新高円寺,丸ノ内線,新高円寺駅,5,2LDK,3,12,杉並区梅里１
アクシルコート銀座イースト,有楽町線,新富町駅,3,3LDK,10,18.5,中央区新富１
7階建 築46年,日比谷線,広尾駅,4,2K,6,13.5,港区南麻布５
地下1地上15階建 築19年,銀座線,神田駅,2,2K,5,14,千代田区神田須田町２
ベルビュー板倉,有楽町線,要町駅,5,2K,2,8.5,板橋区南町
ラヴィ一越,副都心線,千川駅,5,2K,1,8,板橋区向原１
大谷口ガーデンマンションF棟,有楽町線,千川駅,4,4DK,3,16.5,板橋区大谷口２
7階建 築29年,丸ノ内線,中野富士見町駅,4,2LDK,2,12.92,中野区弥生町２
3階建 築49年,ＪＲ山手線,新大久保駅,5,2K,1,13.5,新宿区大久保１
12階建 築17年,銀座線,田原町駅,3,2K,2,12.8,台東区寿１
14階建 築18年,都営浅草線,人形町駅,3,2DK,13,20,中央区日本橋堀留町２
11階建 築53年,都営大江戸線,勝どき駅,5,2K,3,9.8,中央区月島４
9階建 築36年,東西線,西葛西駅,4,3DK,3,11,江戸川区西葛西７
Jパレス桜台,副都心線,氷川台駅,5,2LDK,5,13.8,練馬区桜台３
池之端戸建て２０１,千代田線,根津駅,3,3K,2,9.5,台東区池之端２
奥山方,ＪＲ山手線,日暮里駅,5,4K,1,15,荒川区西日暮里２
赤塚戸建,東武東上線,下赤塚駅,8,2LDK,1,12.5,板橋区赤塚２
10階建 築17年,有楽町線,新富町駅,2,2DK,8,17.3,中央区新富２
富士見マンション,丸ノ内線,中野富士見町駅,5,2DK,1,8.9,中野区弥生町５
浅草国際コーポ,つくばエクスプレス,浅草駅,2,4LDK,7,15.9,台東区西浅草２
シルバーマンション,ＪＲ中央線,中野駅,5,2K,3,7.3,中野区中野３
7階建 築53年,丸ノ内線,新大塚駅,4,2K,4,7.5,文京区大塚５
音羽家,有楽町線,護国寺駅,5,2K,-,9,文京区目白台３
15階建 新築,ＪＲ山手線,御徒町駅,4,2LDK,4,18.7,台東区東上野１
12階建 築26年,丸ノ内線,東高円寺駅,5,2LDK,2,17,杉並区梅里１
3階建 築39年,千代田線,千駄木駅,5,2DK,2,12.5,台東区谷中３
旭泉マンション,ＪＲ山手線,駒込駅,3,2DK,1,11,北区中里２
青南ハイツ,ＪＲ中央線,中野駅,4,2DK,2,9.9,中野区中野３
ジオエント浅草雷門,都営浅草線,浅草駅,4,2DK,2,18.4,台東区雷門１
サンハイツ落合,東西線,落合駅,4,2DK,6,12,中野区東中野３
杉山ビル,有楽町線,月島駅,3,2K,4,6.6,中央区月島１
SEハイツ,ＪＲ山手線,駒込駅,5,3DK,2,13.8,北区西ケ原１
ライオンズプラザ池袋,ＪＲ山手線,池袋駅,10,2K,12,9.3,豊島区東池袋４
ヴェルデューラ,有楽町線,地下鉄成増駅,5,2DK,1,10,板橋区成増３
5階建 築50年,ＪＲ山手線,西日暮里駅,5,2K,5,7.5,北区田端新町１
10階建 築52年,半蔵門線,半蔵門駅,3,2DK,6,11,千代田区平河町２
メゾン美羅樹ＩＩ,丸ノ内線,新高円寺駅,5,2DK,1,12.5,杉並区梅里１
矢来町１２５,東西線,神楽坂駅,1,5K,2,20,新宿区矢来町
マンション富士,ＪＲ山手線,新大久保駅,4,2K,3,11.5,新宿区百人町２
ドリーム・ビラ,西武池袋線,椎名町駅,5,2DK,2,14.2,豊島区西池袋４
メルベーユ・セイワ,有楽町線,氷川台駅,5,3DK,4,11.9,練馬区氷川台３
藍工房ビル,千代田線,根津駅,1,2DK,4,9.5,文京区根津１
3階建 築43年,千代田線,代々木上原駅,5,2DK,2,13.5,渋谷区西原２
庚申ビル,日比谷線,神谷町駅,2,2DK,2,15.5,港区虎ノ門３
3階建 築35年,丸ノ内線,東高円寺駅,5,2LDK,2,19.5,中野区本町６
9階建 築36年,ＪＲ京浜東北線,大井町駅,4,2SDK,3,18,品川区大井１
ターゲサンハイム,副都心線,地下鉄赤塚駅,5,2K,5,8,練馬区北町８
藤和池袋コープ,湘南新宿ライン宇須,池袋駅,7,2K,3,10.5,豊島区西池袋５
4階建 築44年,東西線,早稲田駅,5,2K,4,9,新宿区早稲田鶴巻町
グリーンハイツ中野,丸ノ内線,新中野駅,4,4DK,4,14.5,中野区中央４
アーク氷川台,有楽町線,氷川台駅,4,3DK,3,11,練馬区早宮１
高田馬場住宅,ＪＲ山手線,高田馬場駅,5,2LDK,7,12.5,新宿区下落合２
ハクジュウハイツ,ＪＲ山手線,目白駅,4,2DK,3,12,豊島区目白３
ばんはいむ,ＪＲ山手線,駒込駅,2,2K,1,9.5,豊島区駒込１
5階建 築57年,丸ノ内線,中野新橋駅,4,2LDK,5,10.3,中野区本町３
